budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
5,105,1.25,17,1,lookup,0.24628174290263233,0.3141250878425861,0.556570625439213,1423
5,105,1.25,17,1,proposed,0.2574621969181499,0.3141250878425861,0.3703443429374561,1423
5,105,1.25,17,2,cnn,0.23231571735614298,,,0
5,105,1.25,17,2,lookup,0.2279007924034153,0.3006134969325153,0.5105657805044308,1467
5,105,1.25,17,2,proposed,0.24219759080895883,0.3006134969325153,0.4280845262440354,1467
5,105,1.25,17,3,cnn,0.21454808365831507,,,0
5,105,1.25,17,3,lookup,0.20845435847667543,0.34788634788634787,0.568953568953569,1443
5,105,1.25,17,3,proposed,0.22622177802919569,0.34996534996534995,0.37214137214137216,1443
5,105,1.25,17,4,cnn,0.40289536643485,,,0
5,105,1.25,17,4,lookup,0.4055778377993928,0.3060257278266757,0.5517941773865944,1477
5,105,1.25,17,4,proposed,0.40568078220597126,0.300944669365722,0.33805668016194335,1482
5,105,1.25,42,0,cnn,0.4078642248443931,,,0
5,105,1.25,42,0,lookup,0.41603162343943445,0.2868796736913664,0.5295717199184229,1471
5,105,1.25,42,0,proposed,0.4170804961524802,0.2930800542740841,0.32903663500678426,1474
5,105,1.25,42,1,cnn,0.19644227545122028,,,0
5,105,1.25,42,1,lookup,0.19103350429781102,0.2610216934919524,0.5360391882435269,1429
5,105,1.25,42,1,proposed,0.21046590067621568,0.2610216934919524,0.3617914625612316,1429
5,105,1.25,42,2,cnn,0.16851636850337154,,,0
5,105,1.25,42,2,lookup,0.16308755142583925,0.3107266435986159,0.5280276816608996,1445
5,105,1.25,42,2,proposed,0.1783470674162071,0.30934256055363324,0.3847750865051903,1445
5,105,1.25,42,3,cnn,0.35014470811203807,,,0
5,105,1.25,42,3,lookup,0.3481175676834124,0.2988980716253444,0.5750688705234159,1452
5,105,1.25,42,3,proposed,0.3450827270472974,0.2803030303030303,0.3650137741046832,1452
5,105,1.25,42,4,cnn,0.39952068279411795,,,0
5,105,1.25,42,4,lookup,0.39946857517338036,0.2787671232876712,0.5821917808219178,1460
5,105,1.25,42,4,proposed,0.39835717553060707,0.2707333790267306,0.363262508567512,1459
10,210,2.5,5,0,cnn,0.39025468674577996,,,0
10,210,2.5,5,0,lookup,0.38651643389538826,0.3154929577464789,0.578169014084507,1420
10,210,2.5,5,0,proposed,0.38573511339872013,0.2980364656381487,0.37237026647966337,1426
10,210,2.5,5,1,cnn,0.4045386361931618,,,0
10,210,2.5,5,1,lookup,0.4114865790244132,0.31754874651810583,0.5710306406685237,1436
